year,ch4_mean
1960,1272.2
1961,1285.30
1962,1298.4
1963,1312.2
1964,1326.0
1965,1340.65
1966,1355.3
1967,1370.65
1968,1386.0
1969,1401.75
1970,1417.5
1971,1433.4
1972,1449.3
1973,1465.4
1974,1481.5
1975,1497.75
1976,1514.0
1977,1530.55
1978,1547.1
1979,1564.0
1980,1580.9
1981,1597.55
1982,1614.2
1983,1614.2
1984,1644.84
1985,1657.29
1986,1670.09
1987,1682.7
1988,1693.21
1989,1704.52
1990,1714.47
1991,1724.76
1992,1735.48
1993,1736.48
1994,1742.05
1995,1748.88
1996,1751.3
1997,1754.51
1998,1765.53
1999,1772.3
2000,1773.22
2001,1771.29
2002,1772.66
2003,1777.33
2004,1777.02
2005,1774.25
2006,1774.94
2007,1781.38
2008,1787.01
2009,1793.54
2010,1798.89
2011,1803.08
2012,1808.12
2013,1813.43
2014,1822.54
2015,1834.21
2016,1843.12
2017,1849.58
2018,1857.34
2019,1866.58
2020,1878.72
2021,1894.8
2022,1910.92
2023,1921.7
